Margin(data: [.#.##..#.#], img[2411], T[0,0], d[N])
Margin(data: [##...#...#], img[2411], T[0,0], d[E])
Margin(data: [##..#.##.#], img[2411], T[0,0], d[S])
Margin(data: [....######], img[2411], T[0,0], d[W])
Margin(data: [######....], img[2411], T[0,90], d[N])
Margin(data: [.#.##..#.#], img[2411], T[0,90], d[E])
Margin(data: [#...#...##], img[2411], T[0,90], d[S])
Margin(data: [##..#.##.#], img[2411], T[0,90], d[W])
Margin(data: [#.##.#..##], img[2411], T[0,180], d[N])
Margin(data: [######....], img[2411], T[0,180], d[E])
Margin(data: [#.#..##.#.], img[2411], T[0,180], d[S])
Margin(data: [#...#...##], img[2411], T[0,180], d[W])
Margin(data: [##...#...#], img[2411], T[0,270], d[N])
Margin(data: [#.##.#..##], img[2411], T[0,270], d[E])
Margin(data: [....######], img[2411], T[0,270], d[S])
Margin(data: [#.#..##.#.], img[2411], T[0,270], d[W])
Margin(data: [#.#..##.#.], img[2411], T[1,0], d[N])
Margin(data: [....######], img[2411], T[1,0], d[E])
Margin(data: [#.##.#..##], img[2411], T[1,0], d[S])
Margin(data: [##...#...#], img[2411], T[1,0], d[W])
Margin(data: [#...#...##], img[2411], T[1,90], d[N])
Margin(data: [#.#..##.#.], img[2411], T[1,90], d[E])
Margin(data: [######....], img[2411], T[1,90], d[S])
Margin(data: [#.##.#..##], img[2411], T[1,90], d[W])
Margin(data: [##..#.##.#], img[2411], T[1,180], d[N])
Margin(data: [#...#...##], img[2411], T[1,180], d[E])
Margin(data: [.#.##..#.#], img[2411], T[1,180], d[S])
Margin(data: [######....], img[2411], T[1,180], d[W])
Margin(data: [....######], img[2411], T[1,270], d[N])
Margin(data: [##..#.##.#], img[2411], T[1,270], d[E])
Margin(data: [##...#...#], img[2411], T[1,270], d[S])
Margin(data: [.#.##..#.#], img[2411], T[1,270], d[W])
Margin(data: [#.#......#], img[1997], T[0,0], d[N])
Margin(data: [###.......], img[1997], T[0,0], d[E])
Margin(data: [#...#.#.#.], img[1997], T[0,0], d[S])
Margin(data: [#.#..#.###], img[1997], T[0,0], d[W])
Margin(data: [###.#..#.#], img[1997], T[0,90], d[N])
Margin(data: [#.#......#], img[1997], T[0,90], d[E])
Margin(data: [.......###], img[1997], T[0,90], d[S])
Margin(data: [#...#.#.#.], img[1997], T[0,90], d[W])
Margin(data: [.#.#.#...#], img[1997], T[0,180], d[N])
Margin(data: [###.#..#.#], img[1997], T[0,180], d[E])
Margin(data: [#......#.#], img[1997], T[0,180], d[S])
Margin(data: [.......###], img[1997], T[0,180], d[W])
Margin(data: [###.......], img[1997], T[0,270], d[N])
Margin(data: [.#.#.#...#], img[1997], T[0,270], d[E])
Margin(data: [#.#..#.###], img[1997], T[0,270], d[S])
Margin(data: [#......#.#], img[1997], T[0,270], d[W])
Margin(data: [#......#.#], img[1997], T[1,0], d[N])
Margin(data: [#.#..#.###], img[1997], T[1,0], d[E])
Margin(data: [.#.#.#...#], img[1997], T[1,0], d[S])
Margin(data: [###.......], img[1997], T[1,0], d[W])
Margin(data: [.......###], img[1997], T[1,90], d[N])
Margin(data: [#......#.#], img[1997], T[1,90], d[E])
Margin(data: [###.#..#.#], img[1997], T[1,90], d[S])
Margin(data: [.#.#.#...#], img[1997], T[1,90], d[W])
Margin(data: [#...#.#.#.], img[1997], T[1,180], d[N])
Margin(data: [.......###], img[1997], T[1,180], d[E])
Margin(data: [#.#......#], img[1997], T[1,180], d[S])
Margin(data: [###.#..#.#], img[1997], T[1,180], d[W])
Margin(data: [#.#..#.###], img[1997], T[1,270], d[N])
Margin(data: [#...#.#.#.], img[1997], T[1,270], d[E])
Margin(data: [###.......], img[1997], T[1,270], d[S])
Margin(data: [#.#......#], img[1997], T[1,270], d[W])
Margin(data: [#...#..#..], img[1427], T[0,0], d[N])
Margin(data: [.####....#], img[1427], T[0,0], d[E])
Margin(data: [#.#.##...#], img[1427], T[0,0], d[S])
Margin(data: [#..#..#.##], img[1427], T[0,0], d[W])
Margin(data: [##.#..#..#], img[1427], T[0,90], d[N])
Margin(data: [#...#..#..], img[1427], T[0,90], d[E])
Margin(data: [#....####.], img[1427], T[0,90], d[S])
Margin(data: [#.#.##...#], img[1427], T[0,90], d[W])
Margin(data: [#...##.#.#], img[1427], T[0,180], d[N])
Margin(data: [##.#..#..#], img[1427], T[0,180], d[E])
Margin(data: [..#..#...#], img[1427], T[0,180], d[S])
Margin(data: [#....####.], img[1427], T[0,180], d[W])
Margin(data: [.####....#], img[1427], T[0,270], d[N])
Margin(data: [#...##.#.#], img[1427], T[0,270], d[E])
Margin(data: [#..#..#.##], img[1427], T[0,270], d[S])
Margin(data: [..#..#...#], img[1427], T[0,270], d[W])
Margin(data: [..#..#...#], img[1427], T[1,0], d[N])
Margin(data: [#..#..#.##], img[1427], T[1,0], d[E])
Margin(data: [#...##.#.#], img[1427], T[1,0], d[S])
Margin(data: [.####....#], img[1427], T[1,0], d[W])
Margin(data: [#....####.], img[1427], T[1,90], d[N])
Margin(data: [..#..#...#], img[1427], T[1,90], d[E])
Margin(data: [##.#..#..#], img[1427], T[1,90], d[S])
Margin(data: [#...##.#.#], img[1427], T[1,90], d[W])
Margin(data: [#.#.##...#], img[1427], T[1,180], d[N])
Margin(data: [#....####.], img[1427], T[1,180], d[E])
Margin(data: [#...#..#..], img[1427], T[1,180], d[S])
Margin(data: [##.#..#..#], img[1427], T[1,180], d[W])
Margin(data: [#..#..#.##], img[1427], T[1,270], d[N])
Margin(data: [#.#.##...#], img[1427], T[1,270], d[E])
Margin(data: [.####....#], img[1427], T[1,270], d[S])
Margin(data: [#...#..#..], img[1427], T[1,270], d[W])
Margin(data: [###.####.#], img[2161], T[0,0], d[N])
Margin(data: [###.###..#], img[2161], T[0,0], d[E])
Margin(data: [...###.#.#], img[2161], T[0,0], d[S])
Margin(data: [###...##..], img[2161], T[0,0], d[W])
Margin(data: [..##...###], img[2161], T[0,90], d[N])
Margin(data: [###.####.#], img[2161], T[0,90], d[E])
Margin(data: [#..###.###], img[2161], T[0,90], d[S])
Margin(data: [...###.#.#], img[2161], T[0,90], d[W])
Margin(data: [#.#.###...], img[2161], T[0,180], d[N])
Margin(data: [..##...###], img[2161], T[0,180], d[E])
Margin(data: [#.####.###], img[2161], T[0,180], d[S])
Margin(data: [#..###.###], img[2161], T[0,180], d[W])
Margin(data: [###.###..#], img[2161], T[0,270], d[N])
Margin(data: [#.#.###...], img[2161], T[0,270], d[E])
Margin(data: [###...##..], img[2161], T[0,270], d[S])
Margin(data: [#.####.###], img[2161], T[0,270], d[W])
Margin(data: [#.####.###], img[2161], T[1,0], d[N])
Margin(data: [###...##..], img[2161], T[1,0], d[E])
Margin(data: [#.#.###...], img[2161], T[1,0], d[S])
Margin(data: [###.###..#], img[2161], T[1,0], d[W])
Margin(data: [#..###.###], img[2161], T[1,90], d[N])
Margin(data: [#.####.###], img[2161], T[1,90], d[E])
Margin(data: [..##...###], img[2161], T[1,90], d[S])
Margin(data: [#.#.###...], img[2161], T[1,90], d[W])
Margin(data: [...###.#.#], img[2161], T[1,180], d[N])
Margin(data: [#..###.###], img[2161], T[1,180], d[E])
Margin(data: [###.####.#], img[2161], T[1,180], d[S])
Margin(data: [..##...###], img[2161], T[1,180], d[W])
Margin(data: [###...##..], img[2161], T[1,270], d[N])
Margin(data: [...###.#.#], img[2161], T[1,270], d[E])
Margin(data: [###.###..#], img[2161], T[1,270], d[S])
Margin(data: [###.####.#], img[2161], T[1,270], d[W])
Margin(data: [###...#.#.], img[1321], T[0,0], d[N])
Margin(data: [.##.....##], img[1321], T[0,0], d[E])
Margin(data: [#.###..###], img[1321], T[0,0], d[S])
Margin(data: [#...#.####], img[1321], T[0,0], d[W])
Margin(data: [####.#...#], img[1321], T[0,90], d[N])
Margin(data: [###...#.#.], img[1321], T[0,90], d[E])
Margin(data: [##.....##.], img[1321], T[0,90], d[S])
Margin(data: [#.###..###], img[1321], T[0,90], d[W])
Margin(data: [###..###.#], img[1321], T[0,180], d[N])
Margin(data: [####.#...#], img[1321], T[0,180], d[E])
Margin(data: [.#.#...###], img[1321], T[0,180], d[S])
Margin(data: [##.....##.], img[1321], T[0,180], d[W])
Margin(data: [.##.....##], img[1321], T[0,270], d[N])
Margin(data: [###..###.#], img[1321], T[0,270], d[E])
Margin(data: [#...#.####], img[1321], T[0,270], d[S])
Margin(data: [.#.#...###], img[1321], T[0,270], d[W])
Margin(data: [.#.#...###], img[1321], T[1,0], d[N])
Margin(data: [#...#.####], img[1321], T[1,0], d[E])
Margin(data: [###..###.#], img[1321], T[1,0], d[S])
Margin(data: [.##.....##], img[1321], T[1,0], d[W])
Margin(data: [##.....##.], img[1321], T[1,90], d[N])
Margin(data: [.#.#...###], img[1321], T[1,90], d[E])
Margin(data: [####.#...#], img[1321], T[1,90], d[S])
Margin(data: [###..###.#], img[1321], T[1,90], d[W])
Margin(data: [#.###..###], img[1321], T[1,180], d[N])
Margin(data: [##.....##.], img[1321], T[1,180], d[E])
Margin(data: [###...#.#.], img[1321], T[1,180], d[S])
Margin(data: [####.#...#], img[1321], T[1,180], d[W])
Margin(data: [#...#.####], img[1321], T[1,270], d[N])
Margin(data: [#.###..###], img[1321], T[1,270], d[E])
Margin(data: [.##.....##], img[1321], T[1,270], d[S])
Margin(data: [###...#.#.], img[1321], T[1,270], d[W])
Margin(data: [.#..#..###], img[1181], T[0,0], d[N])
Margin(data: [##.##.##.#], img[1181], T[0,0], d[E])
Margin(data: [###.##...#], img[1181], T[0,0], d[S])
Margin(data: [.##.######], img[1181], T[0,0], d[W])
Margin(data: [######.##.], img[1181], T[0,90], d[N])
Margin(data: [.#..#..###], img[1181], T[0,90], d[E])
Margin(data: [#.##.##.##], img[1181], T[0,90], d[S])
Margin(data: [###.##...#], img[1181], T[0,90], d[W])
Margin(data: [#...##.###], img[1181], T[0,180], d[N])
Margin(data: [######.##.], img[1181], T[0,180], d[E])
Margin(data: [###..#..#.], img[1181], T[0,180], d[S])
Margin(data: [#.##.##.##], img[1181], T[0,180], d[W])
Margin(data: [##.##.##.#], img[1181], T[0,270], d[N])
Margin(data: [#...##.###], img[1181], T[0,270], d[E])
Margin(data: [.##.######], img[1181], T[0,270], d[S])
Margin(data: [###..#..#.], img[1181], T[0,270], d[W])
Margin(data: [###..#..#.], img[1181], T[1,0], d[N])
Margin(data: [.##.######], img[1181], T[1,0], d[E])
Margin(data: [#...##.###], img[1181], T[1,0], d[S])
Margin(data: [##.##.##.#], img[1181], T[1,0], d[W])
Margin(data: [#.##.##.##], img[1181], T[1,90], d[N])
Margin(data: [###..#..#.], img[1181], T[1,90], d[E])
Margin(data: [######.##.], img[1181], T[1,90], d[S])
Margin(data: [#...##.###], img[1181], T[1,90], d[W])
Margin(data: [###.##...#], img[1181], T[1,180], d[N])
Margin(data: [#.##.##.##], img[1181], T[1,180], d[E])
Margin(data: [.#..#..###], img[1181], T[1,180], d[S])
Margin(data: [######.##.], img[1181], T[1,180], d[W])
Margin(data: [.##.######], img[1181], T[1,270], d[N])
Margin(data: [###.##...#], img[1181], T[1,270], d[E])
Margin(data: [##.##.##.#], img[1181], T[1,270], d[S])
Margin(data: [.#..#..###], img[1181], T[1,270], d[W])
Margin(data: [#####..##.], img[2749], T[0,0], d[N])
Margin(data: [...#.#.##.], img[2749], T[0,0], d[E])
Margin(data: [.#..#...#.], img[2749], T[0,0], d[S])
Margin(data: [##.#..##..], img[2749], T[0,0], d[W])
Margin(data: [..##..#.##], img[2749], T[0,90], d[N])
Margin(data: [#####..##.], img[2749], T[0,90], d[E])
Margin(data: [.##.#.#...], img[2749], T[0,90], d[S])
Margin(data: [.#..#...#.], img[2749], T[0,90], d[W])
Margin(data: [.#...#..#.], img[2749], T[0,180], d[N])
Margin(data: [..##..#.##], img[2749], T[0,180], d[E])
Margin(data: [.##..#####], img[2749], T[0,180], d[S])
Margin(data: [.##.#.#...], img[2749], T[0,180], d[W])
Margin(data: [...#.#.##.], img[2749], T[0,270], d[N])
Margin(data: [.#...#..#.], img[2749], T[0,270], d[E])
Margin(data: [##.#..##..], img[2749], T[0,270], d[S])
Margin(data: [.##..#####], img[2749], T[0,270], d[W])
Margin(data: [.##..#####], img[2749], T[1,0], d[N])
Margin(data: [##.#..##..], img[2749], T[1,0], d[E])
Margin(data: [.#...#..#.], img[2749], T[1,0], d[S])
Margin(data: [...#.#.##.], img[2749], T[1,0], d[W])
Margin(data: [.##.#.#...], img[2749], T[1,90], d[N])
Margin(data: [.##..#####], img[2749], T[1,90], d[E])
Margin(data: [..##..#.##], img[2749], T[1,90], d[S])
Margin(data: [.#...#..#.], img[2749], T[1,90], d[W])
Margin(data: [.#..#...#.], img[2749], T[1,180], d[N])
Margin(data: [.##.#.#...], img[2749], T[1,180], d[E])
Margin(data: [#####..##.], img[2749], T[1,180], d[S])
Margin(data: [..##..#.##], img[2749], T[1,180], d[W])
Margin(data: [##.#..##..], img[2749], T[1,270], d[N])
Margin(data: [.#..#...#.], img[2749], T[1,270], d[E])
Margin(data: [...#.#.##.], img[2749], T[1,270], d[S])
Margin(data: [#####..##.], img[2749], T[1,270], d[W])
Margin(data: [##...#####], img[3911], T[0,0], d[N])
Margin(data: [###.##....], img[3911], T[0,0], d[E])
Margin(data: [####.#..#.], img[3911], T[0,0], d[S])
Margin(data: [##.##.#..#], img[3911], T[0,0], d[W])
Margin(data: [#..#.##.##], img[3911], T[0,90], d[N])
Margin(data: [##...#####], img[3911], T[0,90], d[E])
Margin(data: [....##.###], img[3911], T[0,90], d[S])
Margin(data: [####.#..#.], img[3911], T[0,90], d[W])
Margin(data: [.#..#.####], img[3911], T[0,180], d[N])
Margin(data: [#..#.##.##], img[3911], T[0,180], d[E])
Margin(data: [#####...##], img[3911], T[0,180], d[S])
Margin(data: [....##.###], img[3911], T[0,180], d[W])
Margin(data: [###.##....], img[3911], T[0,270], d[N])
Margin(data: [.#..#.####], img[3911], T[0,270], d[E])
Margin(data: [##.##.#..#], img[3911], T[0,270], d[S])
Margin(data: [#####...##], img[3911], T[0,270], d[W])
Margin(data: [#####...##], img[3911], T[1,0], d[N])
Margin(data: [##.##.#..#], img[3911], T[1,0], d[E])
Margin(data: [.#..#.####], img[3911], T[1,0], d[S])
Margin(data: [###.##....], img[3911], T[1,0], d[W])
Margin(data: [....##.###], img[3911], T[1,90], d[N])
Margin(data: [#####...##], img[3911], T[1,90], d[E])
Margin(data: [#..#.##.##], img[3911], T[1,90], d[S])
Margin(data: [.#..#.####], img[3911], T[1,90], d[W])
Margin(data: [####.#..#.], img[3911], T[1,180], d[N])
